# loop_bounded.tsv -- TH8K-009 reviewed loop dispositions (the BOUNDED/SAFE set).
#
# file<TAB>function<TAB>reason.  Command-surface functions whose loop(s) do NOT
# poll Th8_Ready because the iteration count is bounded, not because the loop
# was overlooked.  discover_loops.tcl treats a function here (or in
# poll_required.tsv) as accounted for.  Four bound classes are used:
#   CONST  -- loop over a fixed/compile-time structure (e.g. a static command
#             table); bound is a small constant.
#   ARGV   -- loop over THIS command's argument vector (argc); every arg was a
#             word the (now-polled) parser produced in this same invocation, so
#             the loop is <=2x the parse it is already bounded by.
#   HASHENUM-- enumerate an interp command/variable/package table; each entry was
#             created by a step-counted command, so <=2x amplification.
#   SPLIT  -- loop over the ELEMENTS of a list/dict value, materialized by
#             Th8_SplitList; per-element work is a pointer/length copy, and the
#             element count is bounded by the (step-limited) work that built the
#             value.  Polling these is a candidate future hardening; unlike the
#             string value-loops (per-char classification/rewrite, which DO poll)
#             the per-element cost here is trivial.
#   CAPPED -- loop bounded by an explicit constant cap.
#   BODY   -- per-iteration Th8_Eval of a script body re-enters the polled
#             evaluator (empty-body {} caveat noted in loop_audit.md).
#   PARSE  -- the parser scanning attacker-supplied input.  A LINEAR pass whose
#             length is bounded by the size of the input/value being parsed --
#             which is itself bounded by the script size or by the
#             allocation-quota- and step-limited work that built the value -- so
#             it is not an amplification.  The parser (th8NextWord) is also
#             shared with the debug suspend/resume path, where a cancel poll
#             would treat TH8_SUSPEND as a fatal error and abort a resumed
#             script; and it runs on every word during evaluation, where a poll
#             inflates the step counter for short words.  Cancellation of the
#             surrounding work is the eval loop's job (it polls per command).
#
# ---- CONST: static *GetCommands tables ----
src/plugins/th8_binary.c	th8BinaryGetCommands	CONST static command table
src/plugins/th8_control.c	th8ControlGetCommands	CONST static command table
src/plugins/th8_extensibility.c	th8ExtensibilityGetCommands	CONST static command table
src/plugins/th8_filesystems.c	th8FilesystemsGetCommands	CONST static command table
src/plugins/th8_formatting.c	th8FormattingGetCommands	CONST static command table
src/plugins/th8_introspection.c	th8IntrospectionGetCommands	CONST static command table
src/plugins/th8_io.c	th8IoGetCommands	CONST static command table
src/plugins/th8_lists.c	th8ListsGetCommands	CONST static command table
src/plugins/th8_looping.c	th8LoopingGetCommands	CONST static command table
src/plugins/th8_management.c	th8ManagementGetCommands	CONST static command table
src/plugins/th8_strings.c	th8StringsGetCommands	CONST static command table
src/plugins/th8_variables.c	th8VariablesGetCommands	CONST static command table
# ---- HASHENUM: interp table enumeration (<=2x amplification) ----
src/th8_hash.c	Th8_HashIterate	HASHENUM entries created by step-counted commands
src/plugins/th8_introspection.c	info_commands_command	HASHENUM command table enumeration
src/plugins/th8_introspection.c	info_procs_command	HASHENUM proc table enumeration
src/plugins/th8_introspection.c	info_globals_command	HASHENUM global-var table enumeration
src/plugins/th8_introspection.c	info_vars_command	HASHENUM var table enumeration
src/plugins/th8_introspection.c	info_subcommands_command	HASHENUM ensemble subcommand table (static)
src/plugins/th8_introspection.c	info_args_command	ARGV proc arg list (bounded by proc definition)
src/plugins/th8_introspection.c	info_default_command	ARGV proc arg scan (bounded by proc definition)
src/plugins/th8_introspection.c	info_level_command	ARGV frame level args (bounded by frame)
# ---- ARGV: loop over this command's parsed argument vector (<=2x parse) ----
